ANIO,MES,CONCESION,ENTIDAD PRESTADORA,AEROPUERTO,TIPO PASAJERO,TOTAL PASAJEROS
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,TOCACHE,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,TOCACHE,NACIONAL,59
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,YURIMAGUAS,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,YURIMAGUAS,NACIONAL,"1,503"
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,ANDAHUAYLAS,INTERNACIONAL,0
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,ANDAHUAYLAS,NACIONAL,0
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,ATALAYA,INTERNACIONAL,0
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,ATALAYA,NACIONAL,"2,031"
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,CHIMBOTE,INTERNACIONAL,0
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,CHIMBOTE,NACIONAL,0
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,CUSCO,INTERNACIONAL,"10,494"
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,CUSCO,NACIONAL,"302,413"
2019,4,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,HUÁNUCO,INTERNACIONAL,0
